F043	DISPLAY_CALL_NO	TITLE	URL_Voyager	NORMALIZED_CALL_NO
	"PL747.63.T52 T57 2013"	"Three-dimensional reading : stories of time and space in Japanese modernist fiction, 1911-1932 / edited by Angela Yiu. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625761	"PL  74763          T 52   T 57   2013"
	"GV362.5 .L84 2013"	"Assessment-driven instruction in physical education : a standards-based approach to promoting and documenting learning / Jacalyn Lund, PhD, Georgia State University, Mary Lou Veal, EdD, Middle Tennessee State University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625764	"GV  3625           L 84   2013"
"  aa-ai---aa-aj---"	"DK699.N34 D4 2013"	"Black garden : Armenia and Azerbaijan through peace and war / Thomas de Waal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625765	"DK  699            N 34   D 4   2013"
"  an-us-ca"	"PS571.C2 A37 2013"	"Burning the little candle : an anthology of writing from the faculty & staff of American River College's creative writing program / introduction by Anthony Swofford ; Lois Ann Abraham, Aaron Bradford, Christian Kiefer, Shane Lipscomb, John Bell, Traci Gou"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625766	"PS  571            C 2   A 37   2013"
"  an-us-tx"	"F390 .K35 2013"	"Cotton and conquest : how the plantation system acquired Texas / Roger G. Kennedy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625767	"F  390            K 35   2013"
"  aaw-----"	"DS61.85 .D43 2013"	"Debating Orientalism / edited by Ziad Elmarsafy, Reader, Department of English and Related Literature, University of York, UK, Anna Bernard, Lecturer, Department of English and Comparative Literature, King's College London, UK and David Attwell, Professor"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625768	"DS   6185          D 43   2013"
"  an-us---"	"HV6432.7 .H96 2013"	"Landscapes of 9/11 : a photographer's journey / photographs by Jonathan Hyman ; edited by Edward T. Linenthal, Jonathan Hyman, and Christiane Gruber. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625773	"HV 64327           H 96   2013"
	"TX560.O3 L57 2013"	"Lipid oxidation : challenges in food systems / editors, Amy Logan, Uwe Nienaber, Xiangqing (Shawn) Pan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625774	"TX  560            O 3   L 57   2013"
	"BM615 .G575 2013"	"Messiah and the Jews : three thousand years of tradition, belief and hope / Rabbi Elaine Rose Glickman ; foreword by Rabbi Neil Gillman, PhD ; preface by Rabbi Judith Z. Abrams, PhD. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625777	"BM  615            G 575   2013"
	"BD431 .S2883 2013"	"Science, politics, and ontology of life-philosophy / edited by Scott M. Campbell and Paul W. Bruno. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625779	"BD  431            S 2883   2013"
	"B317 .S6435 2013"	"Socratic philosophy and its others / edited by Christopher Dustin and Denise Schaeffer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625780	"B  317            S 6435   2013"
"  ae-uk---"	"DA125.A1 S73 2013"	"State of race / edited by Nisha Kapoor, Virinder Kalra and James Rhodes. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625781	"DA  125            A 1   S 73   2013"
"  aa-tu---"	"DR435.K87 U64 2013"	"Understanding Turkey's Kurdish question / edited by Fevzi Bilgin and Ali Sar¿¿han. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625783	"DR  435            K 87   U 64   2013"
"  an-us---"	"LB2342 .S28 2013"	"Why public higher education should be free : how to decrease costs and increase quality at American universities / Robert Samuels. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625786	"LB 2342            S 28   2013"
"  ae-hu---"	"DS135.H9 G395 2013"	"Geographical encyclopedia of the Holocaust in Hungary / Randolph L. Braham, editor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625787	"DS  135            H 9   G 395   2013"
"  an-mx---"	"JL1298.R42 M67 2013"	"Mexico's left : the paradox of the PRD / Dag Mossige. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625790	"JL 1298            R 42   M 67   2013"
	"BD418.3 .M3525 2013"	"Mind, matter, & nature : a Thomistic proposal for the philosophy of mind / James D. Madden. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625791	"BD  4183           M 3525   2013"
	"HQ759 .M69 2013"	"Mothering and literacies / edited by Amanda Richey and Linda Shuford Evans. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625792	"HQ  759            M 69   2013"
	"LC191 .S63 2013"	"Sociology of education : an A-to-Z guide / James Ainsworth, editor, Georgia State University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625794	"LC  191            S 63   2013"
	"QP360 .C485 2013"	"Touching a nerve : the self as brain / Patricia S. Churchland. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625795	"QP  360            C 485   2013"
	"PS3576.A33 C568 2011"	"Cobra guardian / Timothy Zahn. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625797	"PS 3576            A 33   C 568   2011"
	"PR2807 .C79 2013"	"Hamlet : before/during/after / Ben Crystal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625800	"PR 2807            C 79   2013"
	"PS3573.H49837 L58 2013"	"Living room / Robert Whitlow. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625801	"PS 3573            H 49837   L 58   2013"
	"PR2827 .C79 2013"	"Midusmmer night's dream : before/during/after / Ben Crystal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625803	"PR 2827            C 79   2013"
	"P91 .B34 2012"	"Reading media theory : thinkers, approaches and contexts / Brett Mills, David M. Barlow. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625804	"P   91            B 34   2012"
"  an-us-nyan-usr--"	"Z1029 .M33 2013"	"Thieves of Book Row : New York's Most Notorious Rare Book Ring and the Man Who Stopped It / Travis McDade. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625805	"Z 1029            M 33   2013"
"  an-us-ny"	"PR9199.3.B37135 T78 2012"	"Trust your eyes : a thriller / Linwood Barclay. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625806	"PR 91993           B 37135   T 78   2012"
"  an-us-ca"	"PS3608.I4345 V56 2013"	"Violet hour : a novel / Katherine Hill. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625807	"PS 3608            I 4345   V 56   2013"
"  an-us---"	"PN4888.O25 A87 2013"	"Assessing evidence in a postmodern world / edited by Bonnie Brennen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625809	"PN 4888            O 25   A 87   2013"
	"QP360 .B727 2013"	"Biological psychology : an introduction to behavioral, cognitive, and clinical neuroscience / S. Marc Breedlove, Michigan State University, Neil V. Watson, Simon Fraser University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625810	"QP  360            B 727   2013"
	"B67 .M67 2013"	"Combining science and metaphysics : contemporary physics, conceptual revision and common sense / Matteo Morganti, University of Roma TRE, Italy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625812	"B   67            M 67   2013"
	"B132.A3 P3313 2011"	"Consciousness, knowledge, and ignorance : Praka¿¿s¿¿a¿¿tman's Pan¿¿capa¿¿dika¿¿vivaran¿¿a, ""Elucidation of Five Parts"". Section on Inquiry (Jijn¿¿a¿¿sa¿¿dhikaran¿¿a). First Part (Prathama Varn¿¿aka) / introduction, transliterated text, translation, and cr"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625813	"B  132            A 3   P 3313   2011"
	"HE7645 .R635 2013"	"Global markets and government regulation in telecommunications / Kirsten Rodine-Hardy, Northeastern University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625817	"HE 7645            R 635   2013"
	"HM1261 .A47 2013"	"Heroic leadership : an influence taxonomy of 100 exceptional individuals / Scott T. Allison and George R. Goethals. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625818	"HM 1261            A 47   2013"
"  an-us---"	"HE7583.U6 Z45 2013"	"Illusion of net neutrality : political alarmism, regulatory creep, and the real threat to Internet freedom / Bob Zelnick & Eva Zelnick. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625819	"HE 7583            U 6   Z 45   2013"
	"PN4784.M34 J58 2013"	"Journalism and media convergence / edited by Heinz-Werner Nienstedt, Stephan Russ-Mohl and Bartosz Wilczek. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625820	"PN 4784            M 34   J 58   2013"
	"TA1637.5 .M37 2013"	"Mathematics in image processing / Hongkai Zhao, editor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625821	"TA 16375           M 37   2013"
"  aa-pp---"	"DU744.35.P33 M68 2013"	"Names are thicker than blood : kinship and ownership amongst the Iatmul / by Andrew Moutu. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625822	"DU  74435          P 33   M 68   2013"
	"BL51 .P5533 2013"	"Pragmatic pluralism and the problem of God / Sami Pihlstro¿¿m. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625824	"BL   51            P 5533   2013"
	"BL65.I55 R4515 2013"	"Religion and public diplomacy / edited by Philip Seib. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625826	"BL   65            I 55   R 4515   2013"
"  aa-ii---"	"BL583 .K46 2013"	"Sacred groves and local gods : religion and environmentalism in south India / Eliza F. Kent. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625827	"BL  583            K 46   2013"
"  an-us---"	"HE9803.Z7 H545 2013"	"Skies belong to us : love and terror in the golden age of hijacking / Brendan I. Koerner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625828	"HE 9803            Z 7   H 545   2013"
	"PR9265.9.G6 S87 2013"	"Supplying salt and light / Lorna Goodison. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625830	"PR 92659           G 6   S 87   2013"
"  aw------"	"G155.T73 C64 2013"	"Tropical whites : the rise of the tourist south in the Americas / Catherine Cocks. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625831	"G  155            T 73   C 64   2013"
	"GN33 .U6 2013"	"Up close and personal : on peripheral perspectives and the production of anthropological knowledge / edited by Cris Shore and Susanna Trnka. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625832	"GN   33            U 6   2013"
	"TL570 .B42 2014"	"Aerodynamics for engineers / John J. Bertin, late professor emeritus, United States Air Force Academy, and Russell M. Cummings, professor emeritus, California Polytechnic State University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625833	"TL  570            B 42   2014"
	"B3376.W563 P532765 2013"	"Textual genesis of Wittgenstein's philosophical investigations / edited by Nuno Venturinha. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625834	"B 3376            W 563   P 532765   2013"
	"PN1997.W74 E93 2013"	"Written on the wind / Peter William Evans. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4625844	"PN 1997            W 74   E 93   2013"
	"QC902.8 .P43 2013"	"In the shadow of the Sabertooth : a renegade naturalist considers global warming, the first Americans and the terrible beasts of the Pleistocene / Doug Peacock. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671424	"QC  9028           P 43   2013"
	"QA297 .C438 2013"	"Matlab programming with applications for engineers / Stephen J. Chapman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671425	"QA  297            C 438   2013"
"  an-us---"	"SB470.D69 D69 2013"	"Landscape designs of Doyle Herman Design Associates / foreword by Mark Ferguson ; [author, James Doyle ; other authors/contributors, Kathryn Herman ; edited by Mandy Herbet]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671426	"SB  470            D 69   D 69   2013"
	"QD75.22 .C44 2013"	"Chemical alternatives assessments / editors, R.E. Hester and R.M. Harrison. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671428	"QD   7522          C 44   2013"
"  ar------at------"	"QC994.75 .S952"	"Polar meteorology and glaciology. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671431	"QC  99475          S 952"
	"TK1001 .T74 2013"	"Electrical power system / S.C. Triparthy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671433	"TK 1001            T 74   2013"
	"QA372 .R35 2013"	"Course in ordinary differential equations / B. Rai, D.P. Choudhury, H.I. Freedman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671435	"QA  372            R 35   2013"
	"QH324.2 .I36 2013"	"Basic bioinformatics / S. Ignacimuthu. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4671436	"QH  3242           I 36   2013"
	"TK7871.85 .R69 2013"	"Electronic materials and semiconductor devices / Dilip K. Roy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4672008	"TK 787185          R 69   2013"
	"TJ828 .H3813 2013"	"Wind turbines : fundamentals, technologies, application, economics / Erich Hau ; [translation, Horst von Renouard]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673261	"TJ  828            H 3813   2013"
	"TK9103 .K38 2013"	"Atomic Mumbai : living with the radiance of a thousand suns / Raminder Kaur. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673262	"TK 9103            K 38   2013"
	"TR820.5 .D47 2013"	"Hidden identities, unfinished / Yvonne De Rosa. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673263	"TR  8205           D 47   2013"
"  af------"	"TR655 .W564 2013"	"Disquiet / Amani Willett. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673264	"TR  655            W 564   2013"
"  an-us---"	"T174.7 .I528 2013"	"Interim report on the second triennial review of the National Nanotechnology Initiative / Committee on Triennial Review of the National Nanotechnology Initiative, Phase II, National Materials and Manufacturing Board, Division on Engineering and Physical S"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673265	"T  1747           I 528   2013"
	"TJ163.5.M54 E53 2013"	"Energy-efficiency standards and green building certification systems used by the Department of Defense for military construction and major renovations / Committee to Evaluate Energy-Efficiency and Sustainability Standards Used by the Department of Defense"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673267	"TJ  1635           M 54   E 53   2013"
	"QP376 .D356 2010"	"Self comes to mind : constructing the conscious brain / Antonio Damasio. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673275	"QP  376            D 356   2010"
	"PQ7798.413.O47 A6 2011"	"Bengala Hotel / Eugenia Coiro. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673331	"PQ 7798413         O 47   A 6   2011"
	"RC108 .K57 1988"	"Illness narratives : suffering, healing, and the human condition / Arthur Kleinman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4673341	"RC  108            K 57   1988"
	"QA1 .J975"	"Journal of rational mechanics and analysis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674206	"QA    1            J 975"
	"MT90 .M23 2013"	"Enjoyment of music / Kristine Forney, Professor of Music, California State University, Long Beach, Andrew Dell'Antonio, University Distinguished Professor of Music, University of Texas, Austin, Joseph Machlis, Late of Queens College of the City University"	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674211	"MT   90            M 23   2013"
	"QA247.45 .B47 2013"	"Introduction to central simple algebras and their applications to wireless communication / Gre¿¿gory Berhuy, Fre¿¿de¿¿rique Oggier. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674233	"QA  24745          B 47   2013"
	"QC20.7.D47 S64 2013"	"Spectral analysis, differential equations and mathematical physics : a festschrift in honor of Fritz Gesztesy's 60th birthday / Helge Holden, Barry Simon, Gerald Teschl, editors. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674240	"QC   207           D 47   S 64   2013"
"  ae-uk-en"	"CB351 .S83 no.52"	"Renaissance retrospections : Tudor views of the Middle Ages / edited by Sarah A. Kelen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674243	"CB  351            S 83   NO .52"
"  ae-uk-en"	"CB351 .S83 no.51"	"Malory and Christianity : essays on Sir Thomas Malory's Morte Darthur / edited by D. Thomas Hanks, Jr., and Janet Jesmok. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4674247	"CB  351            S 83   NO .51"
	"LC283 .T69 2013"	"Toward human flourishing : character, practical wisdom, and professional formation / edited by Mark L. Jones, Paul A. Lewis, and Kelly E. Reffitt. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678188	"LC  283            T 69   2013"
	"PE1404 .C752 2013"	"Critical and corpus-based approaches to intercultural rhetoric / Diane Belcher and Gayle Nelson, editors, Georgia State University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678190	"PE 1404            C 752   2013"
	"B832 .B87 2013"	"What pragmatism was / F. Thomas Burke. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678191	"B  832            B 87   2013"
	"E184.M5 G32 2013"	"Man of fire : selected writings / Ernesto Galarza ; edited by Armando Ibarra and Rodolfo D. Torres. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678192	"E  184            M 5   G 32   2013"
	"BF109.H65 A3 2013"	"Applied psychology of Harry Hollingworth / Harry Hollingworh ; edited by Ludy T. Benjamin Jr. and Lizette Royer Barton. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678194	"BF  109            H 65   A 3   2013"
"  an-us---"	"DS146.U6 W87 2013"	"Jews at Williams : inclusion, exclusion, and class at a New England liberal arts college / Benjamin Aldes Wurgaft. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678196	"DS  146            U 6   W 87   2013"
	"BC41 .O45 2013"	"Plural logic / Alex Oliver and Timothy Smiley. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678198	"BC   41            O 45   2013"
	"B2799.F8 I57 2013"	"Kant and the creation of freedom : a theological problem / Christopher J. Insole. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678199	"B 2799            F 8   I 57   2013"
	"SH327.5 .F74 2013"	"Ecology of aquatic management / Chris Frid, Mike Dobson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678200	"SH  3275           F 74   2013"
"  au-at---"	"TA683.2 .L66 2013"	"Reinforced and prestressed concrete : analysis and design with emphasis on application of AS3600-2009 / Yew-Chaye Loo, Sanaul Huq Chowdhury. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678202	"TA  6832           L 66   2013"
"  an-us---"	"JK468.I6 A835 2013"	"Ensuring language capability in the intelligence community : what factors affect the best mix of military, civilians, and contractors? / Beth J. Asch, John D. Windler ; prepared for the Office of the Director of National Intelligence. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4678432	"JK  468            I 6   A 835   2013"
	"QH541 .K67 2009"	"Ecology : the experimental analysis of distribution and abundance / Charles J. Krebs. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686157	"QH  541            K 67   2009"
	"M1623.8 .B34 1984"	"Banjo player's songbook / by Tim Jumper. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686163	"M 16238           B 34   1984"
	"MT568 .T72 2007"	"Complete 5-string banjo player / by Tony Trischka. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686164	"MT  568            T 72   2007"
	"QA649 .L397 1997"	"Riemannian manifolds : an introduction to curvature / John M. Lee. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686165	"QA  649            L 397   1997"
	"QE28 .M3415 2013"	"Essentials of geology / Stephen Marshak. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686167	"QE   28            M 3415   2013"
"  an-us---"	"Z665.2.U6 R83 2010"	"Foundations of library and information science / Richard E. Rubin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686169	"Z  6652           U 6   R 83   2010"
"  an-usn--"	"GF504.N45 C76 2003"	"Changes in the land : Indians, colonists, and the ecology of New England / William Cronon ; [with a foreword by John Demos and an afterword by the author]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686170	"GF  504            N 45   C 76   2003"
"  an-cn---an-cn-onan-us---"	"PN4913.B56 A3 2011"	"Matter of principle / Conrad Black. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686171	"PN 4913            B 56   A 3   2011"
"  acl-----"	"HC125 .G25313 1997"	"Open veins of Latin America : five centuries of the pillage of a continent / Eduardo Galeano ; translated by Cedric Belfrage. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686172	"HC  125            G 25313   1997"
	"D16.8 .M251 2009"	"Dangerous games : the uses and abuses of history / Margaret MacMillan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686173	"D   168           M 251   2009"
	"BF637.C45 B43 2014"	"Interpersonal communication : relating to others / Steven A. Beebe, Susan J. Beebe, Mark V. Redmond. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686174	"BF  637            C 45   B 43   2014"
"  ad------aee-----"	"HG3881.5.I58 C47 1997"	"Globalisation of poverty : impacts of IMF and World Bank reforms / Michel Chossudovsky. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686184	"HG 38815           I 58   C 47   1997"
	"GV716 .F555 2010"	"Financial management in the sport industry / Matthew T. Brown ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686186	"GV  716            F 555   2010"
	"HM1211 .M373 2013"	"Intercultural communication in contexts / Judith N. Martin, Thomas K. Nakayama. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686203	"HM 1211            M 373   2013"
	"BX1746 .W425 2013"	"Evangelical Catholicism : deep reform in the 21st-century church / George Weigel. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686213	"BX 1746            W 425   2013"
	"TK5105.59 .B464 2013"	"Hacking exposed mobile : mobile security secrets & solutions / Neil Bergman, Mike Stanfield, Jason Rouse, Joel Scambray. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686214	"TK 510559          B 464   2013"
	"QA387 .S74 2012"	"Problems and solutions for groups, lie groups, lie algebras with applications / Willi-Hans Steeb, Igor Tanski, Yorick Hardy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686218	"QA  387            S 74   2012"
	"PS648.S5 T48 2013"	"This is how you die : stories of the inscrutable, infallible, inescapable machine of death / edited by Ryan North, Matthew Bennardo, and David Malki !. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686220	"PS  648            S 5   T 48   2013"
	"NA2760 .G78 2012"	"Architektur + Wahrnehmung = Architecture + perception / Jo¿¿rg Kurt Gru¿¿tter ; [U¿¿bersetzung, Chris Michalski]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686221	"NA 2760            G 78   2012"
	"PN1998.3.P65 G83 2013"	"Roman Polanski : a retrospective / James Greenberg ; foreword by Roman Polanski. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686225	"PN 19983           P 65   G 83   2013"
"  an-us---"	"N6512 .I87 2013"	"Kill for peace : American artists against the Vietnam War / Matthew Israel. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686238	"N 6512            I 87   2013"
"  an-us---"	"E185.86 .S627 2014"	"Mythologizing Black women : unveiling white men's racist and sexist deep frame / Brittany C. Slatton. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686240	"E  18586          S 627   2014"
	"JF1051 .E47 2013"	"Securities against misrule : juries, assemblies, elections / by Jon Elster. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686243	"JF 1051            E 47   2013"
	"PN2190 .R34 2013"	"Theatre-making : interplay between text and performance in the 21st century / Dus¿¿ka Radosavljevic¿¿. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686244	"PN 2190            R 34   2013"
"  af------"	"DT16.5 .F35 2013"	"African diaspora : slavery, modernity, and globalization / Toyin Falola. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686245	"DT   165           F 35   2013"
"  af-gv---an-us---ae-uk---"	"DT543.65 .M68 2013"	"American colony on the Rio Pongo : the War of 1812, the slave trade, and the proposed settlement of African Americans, 1810-1830 / Bruce L. Mouser. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686246	"DT  54365          M 68   2013"
	"N7153.H57 A35 2013"	"Critical laboratory : the writings of Thomas Hirschhorn / Thomas Hirschhorn ; edited by Lisa Lee and Hal Foster. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686249	"N 7153            H 57   A 35   2013"
"  an-us---"	"LB3067.4 .D43 2013"	"Debating single-sex education : separate and equal? / edited by Frances R. Spielhagen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686250	"LB 30674           D 43   2013"
	"N6811.5.W445 L65 2013"	"Lois Weinberger / edited by Philippe van Cauteren ; [authors, Philippe van Cauteren, Tom Trevor, Martin Engler]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686253	"N 68115           W 445   L 65   2013"
"  an-us---"	"E621 .H86 2013"	"Marrow of tragedy : the health crisis of the American Civil War / Margaret Humphreys. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686255	"E  621            H 86   2013"
"  an-us-nh"	"E263.N4 H43 2013"	"New Hampshire and the Revolutionary War / Bruce D. Heald, PhD. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686257	"E  263            N 4   H 43   2013"
"  af-sa---"	"DT1924 .M37 2013"	"Outline of the new African movement in South Africa / Ntongela Masilela. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686258	"DT 1924            M 37   2013"
	"D810.C6 R87 2013"	"Principalities and powers : spiritual combat, 1942-1943 / George William Rutler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686259	"D  810            C 6   R 87   2013"
	"D13 .H752 2013"	"Revisionist histories / Marnie Hughes-Warrington. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686261	"D   13            H 752   2013"
	"HE151 .S24 2013"	"SAGE handbook of transport studies / edited by Jean-Paul Rodrigue, Theo Notteboom and Jon Shaw. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686262	"HE  151            S 24   2013"
	"PN56.V26 R44 2013"	"Vagina : a literary and cultural history / Emma L.E. Rees. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686266	"PN   56            V 26   R 44   2013"
"  an-us---"	"GV716 .F665 2013"	"15 sports myths and why they're wrong / Rodney Fort and Jason Winfree. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686267	"GV  716            F 665   2013"
	"QC6 .U59 2013"	"Bankrupting physics : how today's top scientists are gambling away their credibility / Alexander Unzicker and Sheilla Jones. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686269	"QC    6            U 59   2013"
