Title	Continent	ConName	Country	NationName	State	StateName	Lat	Long	Subject	SubSubject	URL
"Sustaining the U.S. Air Force nuclear mission / Don Snyder, Sarah A. Nowak, Mahyar A. Amouzegar, Julie Kim, Richard Mesic ; prepared for the United States Air Force. "	n	North America	us	United States	--		38	-97	U	G	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690027
"Funding for U.S. study. "	n	North America	us	United States	--		38	-97	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690042
"Debate and dialogue in correctional settings : maps, models, and materials / Johannes Wheeldon, Ricardo B. Chavez, and Joe Cooke. "	n	North America	us	United States	wa	Washington State	47.3333	-120.2683	P	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690066
"Workers across the Americas : the transnational turn in labor history / edited by Leon Fink. "	n	North America	--		--		48.1667	-100.1667	H	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690100
"Great War : styles and patterns of the 1910s / R.L. Shep. "	n	North America	us	United States	--		38	-97	G	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690124
"From still life to the screen : print culture, display, and the materiality of the image in eighteenth-century London / Joseph Monteyne. "	e	Europe	uk	Great Britain	en		54	-2	N	E	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692323
"Jewish professor's political punditry : fifty-plus years of published commentary / Ron Rubin ; edited by Peri Devaney. "	n	North America	us	United States	--		38	-97	P	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692325
"Making Brazil work : checking the president in a multiparty system / Marcus Andre¿¿ Melo and Carlos Pereira. "	s	South America	bl	Brazil	--	 	-10	-55	J	L	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692327
"Music and empire in Britain and India : identity, internationalism, and cross-cultural communication / Bob van der Linden. "	e	Europe	uk	Great Britain	en		54	-2	M	L	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692328
"Satan is real : the ballad of the Louvin brothers / Charlie Louvin, with Benjamin Whitmer. "	n	North America	us	United States	--		38	-97	M	L	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692334
"Antisemitism and the American far left / Stephen H. Norwood. "	n	North America	us	United States	--		38	-97	H	X	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692340
"Ad eternum / Elizabeth Bear. "	n	North America	us	United States	ny	New York	42.965	-76.0167	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692342
"Buto¿¿n's History of Buddhism in India and its spread to Tibet : a treasury of priceless scripture / Buto¿¿n Rinchen Drup ; translated by Lisa Stein and Ngawang Zangpo. "	a	Asia	ii	India	--		20	77	B	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692344
"Governing indigenous territories : enacting sovereignty in the Ecuadorian Amazon / Juliet S. Erazo. "	s	South America	ec	Ecuador	--	 	-2	-77.5	F	3	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692353
"Gordon Parks : a Harlem family 1967 / Gordon Parks ; edited by Thelma Golden, Elizabeth Gwinn and Lauren Haynes ; foreword by Raymond J. McGuire ; preface by Peter W. Kunhardt, Jr. ; essays by Thelma Golden and Lauren Haynes. "	n	North America	us	United States	ny	New York	42.965	-76.0167	T	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692354
"Guilt, responsibility, and denial : the past at stake in post-Milos¿¿evic¿¿ Serbia / Eric Gordy. "	e	Europe	rb	Serbia	--		44	21	D	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692355
"March on Washington : jobs, freedom, and the forgotten history of civil rights / William P. Jones. "	n	North America	us	United States	dc	Washington D.C.	39.1667	-76.85	F	2	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692367
"New Soviet gypsies : nationality, performance, and selfhood in the early Soviet Union / Brigid O'Keefe. "	e	Europe	ur	Soviet Union	--		54.1833	45.1833	D	X	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692368
"Mismeasure of education / Jim Horn, Denise Wilburn. "	n	North America	us	United States	--		38	-97	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692369
"Provost : experiences, reflections, and advice from a former ""number two"" on campus / Larry A. Nielsen ; foreword by D.H. DeHayes. "	n	North America	us	United States	--		38	-97	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692372
"Carmilla / by Joseph Sheridan Le Fanu, a critical edition ; edited and with an introduction by Kathleen Costello-Sullivan. "	e	Europe	au	Austria	--		47.3333	13.3333	P	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692375
