F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"HD9502.A2 A36"	"Advances in the economics of energy and resources. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=292096		"HD 9502            A 2   A 36"
"  acl-----"	"BT738 .G8613"	"Theology of liberation: history, politics, and salvation. Translated and edited by Sister Caridad Inda and John Eagleson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=293156		"BT  738            G 8613"
"  an-us---"	"K14 .A8"	"Natural resources journal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=281837		"K   14            A 8"
	"AS9 .J6"	"Journal of peace research. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=288356		"AS    9            J 6"
	"DR583 .L48"	"Emergence of modern Turkey. Issued under the auspices of the Royal Institute of International Affairs. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=316440		"DR  583            L 48"
		"Medicine and the reign of technology / Stanley Joel Reiser. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=322181		
	"D839 .W57"	"World politics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=310696		"D  839            W 57"
"  ab------ae-uk---ae-uk-en"	"DA566.2 .B37"	"Collapse of British power. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=311101		"DA  5662           B 37"
"  an-us---"	"KF8742 .F86 1978"	"Vital national seminar : the Supreme Court in American political life / by Richard Funston. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=322638		"KF 8742            F 86   1978"
	"HD38 .R573"	"Developing an interdisciplinary science of organizations / Karlene H. Roberts, Charles L. Hulin & Denise M. Rousseau. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=311200		"HD   38            R 573"
"  aa-cc---"	"DS775 .B5313 1971"	"Origins of the Chinese revolution, 1915-1949 / Lucien Bianco ; translated from the French by Muriel Bell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=305782		"DS  775            B 5313   1971"
	"DT107.82 .M5 1969"	"Society of the Muslim Brothers, by Richard P. Mitchell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=306305		"DT  10782          M 5   1969"
"  an-us---"	"JK528 .B73 1978"	"Presidential election game / Steven J. Brams. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=324213		"JK  528            B 73   1978"
"  an-us---"	"JK2255 .J64 1978"	"National party platforms / compiled by Donald Bruce Johnson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=325301		"JK 2255            J 64   1978"
	"D25 .L45 1954"	"Strategy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=307721		"D   25            L 45   1954"
"  an-us---"	"JK1323 1978 .F46"	"Home style : House Members in their districts / Richard F. Fenno, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=320480		"JK 1323       1978 F 46"
	"DD256.5 .R473"	"Hitler's war aims. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=314957		"DD  2565           R 473"
	"JF2011 .V46"	"Participation and political equality : a seven-nation comparison / Sidney Verba, Norman H. Nie, Jae-on Kim. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=320882		"JF 2011            V 46"
	"HB139 M32"	"Econometrics / G. S. Maddala. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=354345		"HB  139            M 32"
	"QA276 .B47"	"Mathematical statistics : basic ideas and selected topics / Peter J. Bickel, Kjell A. Doksum. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=355439		"QA  276            B 47"
"  an-us---"	"JK468.I6 S525 1976"	"Portrait of a cold warrior / by Joseph Burkholder Smith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=343508		"JK  468            I 6   S 525   1976"
"  an-us---"	"JK518 E4 1983"	"Public presidency : the pursuit of popular support / George C. Edwards III. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=349862		"JK  518            E 4   1983"
	"AP2 .N3545"	"National review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=338362		"AP    2            N 3545"
	"CB5 .D52"	"Dictionary of the history of ideas; studies of selected pivotal ideas. Philip P. Wiener, editor in chief. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=333047		"CB    5            D 52"
"  an-us---"	"UA23 .S47 1977"	"Preparing for the next war : American plans for postwar defense, 1941-45 / Michael S. Sherry. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=351001		"UA   23            S 47   1977"
"  an-us---"	"AP2 .P8655"	"Progressive. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=339027		"AP    2            P 8655"
	"JC575 W34 1983"	"Spheres of justice : a defense of pluralism and equality / Michael Walzer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=346967		"JC  575            W 34   1983"
		"Economics letters. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=341675		
"  an-us---"	"JK2261 H27"	"Parties and their environments : limits to reform? / Robert Harmel, Kenneth Janda. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=347756		"JK 2261            H 27"
"  an-us---"	"U263 K36 1983"	"Wizards of Armageddon / Fred Kaplan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=348066		"U  263            K 36   1983"
"  an-us---"	"E840.8.B79 A36 1983"	"Power and principle : memoirs of the national security advisor, 1977-1981 / Zbigniew Brzezinski. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=348172		"E  8408           B 79   A 36   1983"
	"JZ1318 .I68 1983"	"International regimes / edited by Stephen D. Krasner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=348363		"JZ 1318            I 68   1983"
	"JK1 .C65"	"Congressional digest. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=374993		"JK    1            C 65"
"  an-us---"	"LB2300 .C455"	"Chronicle of higher education. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=383868		"LB 2300            C 455"
"  af-ua---"	"HQ1793 A87 1982"	"Khul-khaal, five Egyptian women tell their stories / Nayra Atiya. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=365043		"HQ 1793            A 87   1982"
	"JF2051 .K4 1958"	"Politics, parties, and pressure groups. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=371691		"JF 2051            K 4   1958"
	"HB501 P4185 1983"	"Philosophical and economic foundations of capitalism / edited by Svetozar Pejovich. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=361822		"HB  501            P 4185   1983"
	"Q175 .I514 1965"	"Criticism and the growth of knowledge; edited by Imre Lakatos [and] Alan Musgrave. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=363188		"Q  175            I 514   1965"
	"GN346.4 .K57 1986"	"Reliability and validity in qualitative research / Jerome Kirk, Marc L. Miller. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=410974		"GN  3464           K 57   1986"
"  an-cn---"	"KE8244 .S64 1985"	"Supreme Court of Canada : history of the institution / James G. Snell and Frederick Vaughan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=403384		"KE 8244            S 64   1985"
	"HX86 .S33 1950a"	"Capitalism, socialism, and democracy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=403558		"HX   86            S 33   1950 A"
"  aa-cc---"	"B126 .S345 1985"	"World of thought in ancient China / Benjamin I. Schwartz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=404144		"B  126            S 345   1985"
"  ae------"	"JF2011 .P595 1983"	"Political parties of Europe / edited by Vincent E. McHale ; Sharon Skowronski, assistant editor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=387118		"JF 2011            P 595   1983"
"  ad------"	"GN496 .H67 1985"	"Ethnic groups in conflict / Donald L. Horowitz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=406122		"GN  496            H 67   1985"
"  an-us---"	"HD9565 .L335 1983"	"Political risk in the international oil and gas industry / Howard L. Lax. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=387853		"HD 9565            L 335   1983"
	"HX39.5 .A224 1983"	"Portable Karl Marx / selected, translated in part, and with an introduction by Eugene Kamenka. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=387871		"HX   395           A 224   1983"
"  an-us---"	"HV6791 .R49 1985"	"Crime by choice : an economic analysis / Morgan O. Reynolds. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=400227		"HV 6791            R 49   1985"
"  aa------"	"JQ36 .P94 1985"	"Asian power and politics : the cultural dimensions of authority / Lucian W. Pye with Mary W. Pye. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=400935		"JQ   36            P 94   1985"
	"HD58.7 .O736 1985"	"Organizational culture / [edited by] Peter J. Frost ... [et al.] "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=400938		"HD   587           O 736   1985"
	"D25.A2 E37 1985"	"Encyclopedia of battles : accounts of over 1,560 battles from 1479 B.C. to the present / David Eggenberger ; [maps by Donald T. Pitcher]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=401743		"D   25            A 2   E 37   1985"
	"U21.2 .H656 1983"	"Causes of wars and other essays / Michael Howard. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=396161		"U   212           H 656   1983"
"  ae-ur---ae-ur-un"	"HD1492.S65 C66 1986"	"Harvest of sorrow : Soviet collectivization and the terror-famine / Robert Conquest. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=439012		"HD 1492            S 65   C 66   1986"
"  an-us---"	"HJ2052 .G695 1985"	"Is raising taxes the solution to the government's deficits? / Melvin L. Greenhut. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=439630		"HJ 2052            G 695   1985"
	"HD9502.A2 H257 1985"	"Handbook of natural resource and energy economics / edited by Allen V. Kneese and James L. Sweeney. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=418586		"HD 9502            A 2   H 257   1985"
	"U162 .M25 1986"	"Makers of modern strategy : from Machiavelli to the nuclear age / edited by Peter Paret with the collaboration of Gordon A. Craig and Felix Gilbert. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=424788		"U  162            M 25   1986"
"  aa-vt---an-us---"	"DS558 .K74 1986"	"Army and Vietnam / Andrew F. Krepinevich, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=433583		"DS  558            K 74   1986"
"  an-us---"	"JK411 .R64 1986"	"To run a constitution : the legitimacy of the administrative state / John A. Rohr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=421594		"JK  411            R 64   1986"
	"D25.A2 L23 1986"	"Brassey's battles : 3,500 years of conflict, campaigns, and wars from A-Z / John Laffin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=415617		"D   25            A 2   L 23   1986"
"  an-us---"	"HD6508 .R43 1985"	"History and economics of labor unions / by Morgan O. Reynolds. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=421981		"HD 6508            R 43   1985"
		"Journal of mathematical economics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=422017		
"  an-us---"	"JA84.U5 M43 1985"	"Novus ordo seclorum : the intellectual origins of the Constitution / Forrest McDonald. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=428239		"JA   84            U 5   M 43   1985"
"  an-us---"	"HD2785 .E28 1986"	"Economics of nonprofit institutions : studies in structure and policy / edited by Susan Rose-Ackerman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=435400		"HD 2785            E 28   1986"
	"PN6121 .V52"	"Vital speeches of the day. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=423487		"PN 6121            V 52"
"  as-ag---"	"JL2031 .O36 1979"	"Modernization and bureaucratic-authoritarianism : studies in South American politics / Guillermo A. O'Donnell ; with a postscript by the author. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=451843		"JL 2031            O 36   1979"
	"HD8008.A1 F4"	"Federal times. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=464926		"HD 8008            A 1   F 4"
	"HM57 .W342"	"Economy and society; an outline of interpretive sociology. Edited by Guenther Roth and Claus Wittich. Translators: Ephraim Fischoff [and others] "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=466224		"HM   57            W 342"
"  an-us-nc"	"HC107.N8 W66 1986"	"Southern capitalism : the political economy of North Carolina, 1880-1980 / Phillip J. Wood. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=440277		"HC  107            N 8   W 66   1986"
"  aew-----"	"JN94.A2 S74 1986"	"European democracies / Jurg Steiner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=442319		"JN   94            A 2   S 74   1986"
"  an-us---"	"JK1061 .C5857 1986"	"Congress and policy change / edited by Gerald C. Wright, Jr., Leroy N. Rieselbach, Lawrence C. Dodd. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=442768		"JK 1061            C 5857   1986"
	"HV41 .E425 1986"	"From the top down : the executive role in volunteer program success / Susan J. Ellis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=449648		"HV   41            E 425   1986"
	"HG3821 .B7"	"International trade and exchange : a study of the mechanism and advantages of commerce / by Harry Gunnison Brown. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=455594		"HG 3821            B 7"
	"HG221 .F87"	"Studies in the quantity theory of money. With essays by Milton Friedman [and others. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=461571		"HG  221            F 87"
	"HG221 .W93 1971"	"Introduction to monetary theory and policy / Dwayne Wrightsman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=461744		"HG  221            W 93   1971"
	"HX39.5 .P374 1983"	"Karl Marx in one lesson (1818-1883) / by Steve Pejovich. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=443678		"HX   395           P 374   1983"
	"HT391.3 .H36 1986"	"Handbook of regional and urban economics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=449891		"HT  3913           H 36   1986"
"  an-us---"	"HF5699 .B37 1967"	"Basic tables in business and economics / edited by Edwin B. Cox. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=462244		"HF 5699            B 37   1967"
	"JC311 .S536 1986"	"Ethnic origins of nations / Anthony D. Smith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=450163		"JC  311            S 536   1986"
"  an-us---"	"HF6161.C35 F7 1975"	"Smoking and politics : policymaking and the Federal bureaucracy / A. Lee Fritschler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=463111		"HF 6161            C 35   F 7   1975"
	"HG538 .F866"	"Optimum quantity of money, and other essays. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=463429		"HG  538            F 866"
"  an-us---"	"E744 .R42 1986"	"Redefining the past : essays in diplomatic history in honor of William Appleman Williams / edited by Lloyd C. Gardner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=451477		"E  744            R 42   1986"
	"HB221 .G654 1975"	"Theory of spatial pricing and market areas / M. L. Greenhut and H. Ohta. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=485557		"HB  221            G 654   1975"
"  an-us---"	"HF1455 .G5"	"U.S. power and the multinational corporation : the political economy of foreign direct investment / Robert Gilpin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=493011		"HF 1455            G 5"
"  aa-is---ama-----"	"DS119.7 .C66 1973"	"Green March, Black September: the story of the Palestinian Arabs [by] John K. Cooley. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=481082		"DS  1197           C 66   1973"
"  an-us---"	"JK1096 .C66 1975"	"Congress in change : evolution and reform / edited by Norman J. Ornstein. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=481978		"JK 1096            C 66   1975"
	"JA79 .F73"	"Normative political theory [by] Fred M. Frohock. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=470207		"JA   79            F 73"
"  an-us---"	"E449.F653 G87 1975"	"Slavery and the numbers game : a critique of Time on the cross / Herbert G. Gutman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=488924		"E  449            F 653   G 87   1975"
"  acl-----"	"JA84.L3 J65"	"Latin-American political thought and ideology, by Miguel Jorrin and John D. Martz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=470394		"JA   84            L 3   J 65"
"  an-us---"	"HC106.8 R42 1982"	"Reagan experiment : an examination of economic and social policies under the Reagan administration / John L. Palmer, Isabel V. Sawhill, editors. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=478072		"HC  1068           R 42   1982"
	"DK266.3 .P64"	"Operation Overflight : the U-2 spy pilot tells his story for the first time / [by] Francis Gary Powers, with Curt Gentry. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=490097		"DK  2663           P 64"
	"U102 .C65 1976"	"On war / Carl von Clausewitz ; edited and translated by Michael Howard and Peter Paret ... "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=472854		"U  102            C 65   1976"
	"HB139 .H36 1983"	"Handbook of econometrics / edited by Zvi Griliches and Michael D. Intriligator. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=517553		"HB  139            H 36   1983"
"  an-us---"	"HD6504 .D64"	"Directory of U.S. labor organizations. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=518202		"HD 6504            D 64"
	"U162.6 .M43 1983"	"Conventional deterrence / John J. Mearsheimer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=518207		"U  1626           M 43   1983"
"  an-us---"	"KF4764 .B33 1983"	"Equality under the constitution : reclaiming the Fourteenth Amendment / Judith A. Baer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=520684		"KF 4764            B 33   1983"
"  an-us---"	"JK516 .C75"	"State of the presidency / Thomas E. Cronin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=512373		"JK  516            C 75"
	"JX1391 .S85"	"International relations : theories and evidence / Michael P. Sullivan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=501116		"JX 1391            S 85"
	"HD31 .S55 1976"	"Administrative behavior : a study of decision-making processes in administrative organization / by Herbert A. Simon ; with a foreword by Chester I. Barnard. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=502066		"HD   31            S 55   1976"
	"HB171.5 .N59 1974"	"Economics and social choice [by] Jack W. Nickson, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=507730		"HB  1715           N 59   1974"
"  ae------"	"U43.E95 S76 1983"	"European armies and the conduct of war / Hew Strachan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=513533		"U   43            E 95   S 76   1983"
"  ae------"	"D25 .K43 1976b"	"Face of battle / John Keegan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=508450		"D   25            K 43   1976 B"
	"JA73 .P658 1983"	"Political science : the state of the discipline / edited by Ada W. Finifter. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=514271		"JA   73            P 658   1983"
"  ae-uk---"	"UA649 .H78"	"British way in warfare : a reappraisal / Michael Howard. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=503837		"UA  649            H 78"
	"H31 .S67 no.7"	"Social forecasting methodology : suggestions for research / by Daniel P. Harrison. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=515946		"H   31            S 67   NO .7"
"  an-us---"	"LC212.2 .C37 1975"	"Making affirmative action work in higher education : an analysis of institutional and Federal policies with recommendations : a report of the Carnegie Council on Policy Studies in Higher Education. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=504988		"LC  2122           C 37   1975"
	"HD2763.A2 B4"	"Rand journal of economics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=533496		"HD 2763            A 2   B 4"
	"HM48 .B87 1984"	"In the field : an introduction to field research / Robert G. Burgess. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=546145		"HM   48            B 87   1984"
	"JF37 .C65"	"Comparative politics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=546174		"JF   37            C 65"
	"HB75 .R447"	"Research in the history of economic thought and methodology. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=540149		"HB   75            R 447"
	"H61 .B478 1984"	"Basic dilemmas in the social sciences / Hubert M. Blalock, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=534393		"H   61            B 478   1984"
"  an-us---"	"JK1071 .J63 1984"	"To serve the people : Congress and constituency service / John R. Johannes. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=540423		"JK 1071            J 63   1984"
	"HF1411 .H257 1984"	"Handbook of international economics / edited by Ronald W. Jones and Peter B. Kenen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=529565		"HF 1411            H 257   1984"
"  aaw-----"	"HN656.A8 M52 1983"	"Middle East / edited by Talal Asad and Roger Owen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=535634		"HN  656            A 8   M 52   1983"
"  an-us---"	"HB171 .G7495 1983"	"From basic economics to supply side economics / M.L. Greenhut, Charles T. Stewart, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=541698		"HB  171            G 7495   1983"
"  an-us---"	"HN90.P8 P84 1981"	"Public opinion and public policy : models of political linkage / edited by Norman R. Luttbeg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=541906		"HN   90            P 8   P 84   1981"
	"HF1411 .H5 1980"	"National power and the structure of foreign trade / by Albert O. Hirschman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=523223		"HF 1411            H 5   1980"
"  an-us---"	"H97 .B837 1983"	"Public policy in the eighties / Charles S. Bullock, III, James E. Anderson, David W. Brady. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=530279		"H   97            B 837   1983"
"  ae------ae-gx---ae-cs---"	"D727 .M87 1984"	"Change in the European balance of power, 1938-1939 : the path to ruin / Williamson Murray. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=543164		"D  727            M 87   1984"
"  an-us---"	"JK2261 .S9 1983"	"Dynamics of the party system : alignment and realignment of political parties in the United States / James L. Sundquist. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=537253		"JK 2261            S 9   1983"
	"HC10 .O19"	"OECD economic studies. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=537804		"HC   10            O 19"
	"H62 .Q35 1983"	"Qualitative methodology / editor, John Van Maanen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=538238		"H   62            Q 35   1983"
"  an-us---"	"HD6508 .R44 1984"	"Power and privilege : labor unions in America / Morgan O. Reynolds. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=544854		"HD 6508            R 44   1984"
	"HD30.23 .B368 1983"	"Organizational decision making / Bernard M. Bass. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=544898		"HD   3023          B 368   1983"
	"JK1067 .J32 1983"	"Strategy and choice in congressional elections / Gary C. Jacobson and Samuel Kernell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=533069		"JK 1067            J 32   1983"
	"JC421 .L537 1984"	"Democracies : patterns of majoritarian and consensus government in twenty-one countries / Arend Lijphart. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=533086		"JC  421            L 537   1984"
"  an-us---"	"H97 .M39 1983"	"Implementation and public policy / Daniel A. Mazmanian, Paul A. Sabatier. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=539041		"H   97            M 39   1983"
"  an-us---"	"JK271 .N44 1985"	"New direction in American politics / John E. Chubb and Paul E. Peterson, editors. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=573925		"JK  271            N 44   1985"
"  an-us---"	"HD3616.U46 M39 1985"	"Regulation : politics, bureaucracy, and economics / Kenneth J. Meier. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=575986		"HD 3616            U 46   M 39   1985"
	"H97 .M35 1984"	"Methods for policy research / Ann Majchrzak ; with foreword by Amitai Etzioni. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=561462		"H   97            M 35   1984"
	"JS889.G373 A78 1975"	"Public information, citizen feedback and governmental support in Garland, Texas / by Arnold Vedlitz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=556075		"JS  889            G 373   A 78   1975"
"  an-us---"	"HN29 .T68"	"Society. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=556654		"HN   29            T 68"
"  an-us---"	"JK424 .R68 1984"	"Bureaucracy, politics, and public policy / Francis E. Rourke. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=569337		"JK  424            R 68   1984"
"  an-us---"	"HC106.8 .R42 1984"	"Reagan record : an assessment of America's changing domestic priorities / John L. Palmer and Isabel V. Sawhill, editors. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=563992		"HC  1068           R 42   1984"
	"UB212 .V36 1985"	"Command in war / Martin van Creveld. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=570712		"UB  212            V 36   1985"
	"JC423 .B243 1984"	"Strong democracy : participatory politics for a new age / Benjamin R. Barber. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=553005		"JC  423            B 243   1984"
	"JC181 .K295 1983"	"Kant's political writings / edited with an introduction and notes by Hans Reiss ; translated by H.B. Nisbet. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=553866		"JC  181            K 295   1983"
	"HF1410 .I57"	"International political economy yearbook. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=572282		"HF 1410            I 57"
	"HJ7539 .B465 1980"	"Political economy of federal government growth, 1959-1978 / James T. Bennett and Manuel H. Johnson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=554249		"HJ 7539            B 465   1980"
"  an-us---"	"UB212 .B5 1985"	"Strategic command and control : redefining the nuclear threat / Bruce G. Blair. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=588635		"UB  212            B 5   1985"
	"JA35 1983"	"Political science : the science of politics / edited by Herbert F. Weisberg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=603199		"JA   35       1983"
	"K12 .A922"	"Law & policy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=583755		"K   12            A 922"
"  an-us---ae-ur---"	"E183.8.S65 L36 1985"	"Origins of containment : a psychological explanation / by Deborah Welch Larson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=590000		"E  1838           S 65   L 36   1985"
"  an-us---"	"JK468.I6 T87 1985"	"Secrecy and democracy : the CIA in transition / Stansfield Turner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=584227		"JK  468            I 6   T 87   1985"
	"JC251 .D47 1954"	"Public and its problems / by John Dewey. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=584866		"JC  251            D 47   1954"
