F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
"  an-us---"	"E183 .R7 1960"	"Parties and politics in America / Clinton Rossiter. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=70173		"E  183            R 7   1960"
	"HB601 .G73 1961"	"Intermediate income and growth theory / Melvin L. Greenhut, Frank H. Jackson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=76728		"HB  601            G 73   1961"
	"HC106.5 .B814 1964"	"Hidden face of free enterprise; the strange economics of the American businessman / John R. Bunting. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=71128		"HC  1065           B 814   1964"
"  aff-----"	"DT176 .P6"	"Political elites in Arab North Africa : Morocco, Algeria, Tunisia, Libya, and Egypt / I. William Zartman ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=89616		"DT  176            P 6"
	"HC106.5 .G686"	"Full employment, inflation and common stock. Forward [sic] by Donald Dewey. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=77790		"HC  1065           G 686"
	"HB221 .D6 1964"	"Price system / Robert Dorfman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=72002		"HB  221            D 6   1964"
	"LB2805 T9"	"Politics of educational governance : an overview / Harvey J. Tucker, L. Harmon Zeigler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=100230		"LB 2805            T 9"
"  an-us---"	"E185.89.H6 C56"	"Blacks in suburbs : a national perspective / Thomas A. Clark ;with a foreword by George Sternlieb. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=107136		"E  18589          H 6   C 56"
"  an-us---"	"JK1041 .N48"	"New Congress / edited by Thomas E. Mann and Norman J. Ornstein. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=95129		"JK 1041            N 48"
"  an-us---"	"JK421 Y37 1982"	"Bureaucratic democracy : the search for democracy and efficiency in American government / Douglas Yates. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=95145		"JK  421            Y 37   1982"
"  an-us---"	"E873 .A34 1982"	"Keeping faith : memoirs of a president / Jimmy Carter. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=103072		"E  873            A 34   1982"
	"U21.2 .B53"	"Causes of war. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=115412		"U   212           B 53"
	"UA11 .B7"	"Strategy in the missile age. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=115633		"UA   11            B 7"
	"UA11 .S56"	"Deterrence and defense; toward a theory of national security. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=115728		"UA   11            S 56"
"  an-us---"	"HV7911.S46 H87"	"Shadrin, the spy who never came back / by Henry Hurt. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=98244		"HV 7911            S 46   H 87"
	"HD82 .B733 1981"	"Building a sustainable society / Lester R. Brown. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=98333		"HD   82            B 733   1981"
	"UF767 .B7 1946a"	"Absolute weapon: atomic power and world order / by Frederick S. Dunn, ... [et al.] ; edited by Bernard Brodie. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=110657		"UF  767            B 7   1946 A"
	"UF767 .S5 1945a"	"Atomic energy for military purposes : the official report on the development of the atomic bomb under the auspices of the United States government, 1940-1945 / by Henry De Wolf Smyth. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=110686		"UF  767            S 5   1945 A"
	"UA23 .H94"	"Common defense : strategic programs in national politics / by Samuel P. Huntington. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=117269		"UA   23            H 94"
	"HC79.F3 S46"	"Poverty and famines : an essay on entitlement and deprivation / Amartya Sen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=99261		"HC   79            F 3   S 46"
